,features,1,2
0,Possession - Overall,-0.05778006041012444,0.15011813390427176
1,Possession - 1st half,0.04782456202293813,0.16682033146058417
2,Possession - 2nd half,-0.13112719708431453,0.054507993180214896
3,Penalties,0.10413900825986751,0.24811792285634832
4,Metres,0.16086385653245988,-0.00022628753720880114
5,Defenders Beaten,0.14504645441036199,-0.13361292169076694
6,Clean breaks,0.30697864168185107,-0.029652280588842145
7,Gain line Carries,0.03335696799818257,0.08918060986458168
8,Passes,0.005492985725372482,-0.04993971633412343
9,Offloads,0.16950034133634365,-0.037624620919151315
10,Turnovers won,0.3084918691076982,0.24581174779590698
11,Kicks from Hand,0.20450092990672655,0.32464666669278713
12,Rucks Won,-0.25797963270806057,0.10862758489777452
13,Tackles Made,0.2840693555689091,-0.097743089918148
14,Tackles Missed,-0.14504645441036204,0.13361292169076686
15,Rucks Successful,-0.25797963270806057,0.10862758489777452
16,Total Rucks,-0.2711566956798019,0.0782304178554896
17,Lineouts Successful,0.14423046751930674,-0.06806467533064224
18,Lineouts Thrown,0.11149949743380824,-0.10821631665561833
19,Scrums Successful,0.057403167030712715,0.3671006799063365
20,Scrums Total,0.025090048167801315,0.3324056979424041
21,Penalties Conceded Own Half,-0.0109749240930629,-0.28798309101449315
22,Penalties Conceded Opp Half,-0.22569314980122707,-0.20060439923187443
23,Yellow Cards,-0.18509163733383557,0.07869405598860021
24,Red Cards,-0.12557351821867824,0.1005447245749577
25,% Rucks Successful,0.07303725989751199,0.3554394130421594
26,% Goal kicks Successful,0.2457090149487809,0.06363974201522657
27,% Scrums Successful,0.06688864648468407,0.21245098240443164
28,% Tackle Successful,0.3762039884773569,-0.23443865644517303
