Date,Team A,Score A,Team B,Score B,Game ID,Knock-out,Possession A - Overall,Possession B - Overall,Possession A - 1st half,Possession B - 1st half,Possession A - 2nd half,Possession B - 2nd half,Tries A,Tries B,Conversions A,Conversions B,Penalties A,Penalties B,Metres A,Metres B,Defenders Beaten A,Defenders Beaten B,Clean breaks A,Clean breaks B,Gain line Carries A,Gain line Carries B,Passes A,Passes B,Offloads A,Offloads B,Turnovers won A,Turnovers won B,Kicks from Hand A,Kicks from Hand B,Rucks Won A,Rucks Won B,Tackles Made A,Tackles Made B,Tackles Missed A,Tackles Missed B,Goal Kicks Successful A,Goal Kicks Attempted A,Goal Kicks Successful B,Goal Kicks Attempted B,Rucks Successful A,Total Rucks A,Rucks Successful B,Total Rucks B,Lineouts Successful A,Lineouts Thrown A,Lineouts Successful B,Lineouts Thrown B,Scrums Successful A,Scrums Total A,Scrums Successful B,Scrums Total B,Penalties Conceded Own Half A,Penalties Conceded Own Half B,Penalties Conceded Opp Half A,Penalties Conceded Opp Half B,Yellow Cards A,Yellow Cards B,Red Cards A,Red Cards B
28-Oct-2023,New Zealand,11,South Africa,12,87881,Yes,60,40,63,37,58,42,1,0,0,0,2,4,459,360,37,14,7,4,66,37,221,84,5,7,2,7,34,38,115,56,92,209,14,37,2,4,4,4,115,120,56,56,20,22,6,10,2,2,10,11,4,6,1,4,1,2,1,0
27-Oct-2023,Argentina,23,England,26,87880,Yes,53,47,45,55,59,41,2,2,2,2,3,4,421,282,34,14,6,4,54,37,139,90,4,0,2,5,38,45,109,63,107,175,14,34,5,6,6,6,109,111,63,66,8,8,7,8,6,7,9,12,5,6,2,2,0,0,0,0
21-Oct-2023,England,15,South Africa,16,87879,Yes,56,44,52,48,59,41,0,1,0,1,4,3,236,190,14,15,0,3,33,30,78,67,4,2,8,4,41,29,67,52,89,109,15,14,4,4,4,4,67,68,52,55,7,10,15,19,3,7,7,8,4,4,7,4,0,0,0,0
20-Oct-2023,Argentina,6,New Zealand,44,87878,Yes,43,57,46,54,40,60,0,7,0,3,2,1,522,621,23,51,6,11,79,92,182,214,6,10,3,5,22,36,115,120,192,185,51,23,2,2,4,8,115,119,120,122,10,12,18,19,4,4,4,4,4,3,6,4,0,1,0,0
15-Oct-2023,France,28,South Africa,29,87877,Yes,60,40,59,41,60,40,3,4,2,3,3,1,520,424,43,12,13,6,81,36,156,82,13,2,5,8,24,27,103,56,92,158,12,43,5,7,4,5,103,108,56,59,12,12,5,5,5,9,7,8,2,5,4,1,0,1,0,0
15-Oct-2023,England,30,Fiji,24,87876,Yes,49,51,53,47,46,54,2,3,1,3,5,1,501,402,29,34,3,8,57,56,123,156,4,10,5,7,30,20,69,90,151,115,34,29,6,8,4,7,69,73,90,95,11,11,17,19,4,5,4,6,4,8,6,4,0,1,0,0
14-Oct-2023,Ireland,24,New Zealand,28,87875,Yes,55,45,51,49,58,42,3,3,2,2,1,3,633,465,31,22,7,6,94,60,325,137,8,3,4,7,20,33,129,94,155,226,22,31,3,4,5,7,129,134,94,97,13,15,8,8,0,0,5,5,4,8,6,2,0,2,0,0
14-Oct-2023,Wales,17,Argentina,29,87874,Yes,44,56,43,57,45,55,2,2,2,2,1,5,619,431,22,20,8,5,49,67,144,142,6,8,3,7,25,34,58,109,166,95,20,22,3,4,7,8,58,62,109,111,6,10,10,10,8,10,7,7,9,4,3,3,0,0,0,0
8-Oct-2023,Fiji,23,Portugal,24,87873,No,54,46,52,48,56,44,2,3,2,3,3,1,737,558,32,22,6,8,77,58,143,139,7,13,7,9,30,37,96,59,90,171,22,32,5,5,4,4,96,101,59,62,15,17,12,16,2,3,3,6,2,8,9,4,1,0,0,0
8-Oct-2023,Tonga,45,Romania,24,87872,No,57,43,52,48,63,37,7,3,5,3,0,1,735,292,43,13,15,5,78,45,192,113,16,2,3,9,17,31,77,65,96,133,13,43,5,7,4,5,77,82,65,68,16,17,9,12,1,2,6,8,5,2,4,6,1,1,0,0
