,date,Team A,Team B,Score A,Score B,Tourn,Venue,City,Neut.,Country,elo_home,elo_away,proba_home_win,elo_gap,outcome
0,1882-12-16,Wales,England,0,2,Home_Nations_Championship,,Swansea,True,,1000.0,1000.0,0.5,0.0,0.0
1,1883-01-08,Scotland,Wales,3,1,Home_Nations_Championship,,Edinburgh,True,,1000.0,982.9715095256443,0.5244863640392331,17.02849047435575,1.0
2,1883-01-08,Scotland,Wales,3,1,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,1016.0701721257842,966.90133739986,0.570291010595425,49.16883472592417,1.0
3,1883-02-05,England,Ireland,1,0,Home_Nations_Championship,,Manchester,True,,1017.0284904743557,1000.0,0.5244863640392331,17.02849047435575,1.0
4,1883-02-05,England,Ireland,1,3,Home_Nations_Championship,Whalley Range,Manchester,True,,1027.1676402135276,989.8608502608281,0.553483390849898,37.306789952699546,0.0
5,1883-02-17,Ireland,Scotland,0,1,Home_Nations_Championship,,Belfast,True,,1008.3965027877682,1030.3848377957515,0.4683984223502681,-21.988335007983324,0.0
6,1883-03-03,Scotland,England,1,2,Home_Nations_Championship,Raeburn Place,Edinburgh,True,,1040.3499796359683,1008.6319876865875,0.5455194740561384,31.717991949380803,0.0
7,1884-01-05,England,Wales,1,2,Home_Nations_Championship,Cardigan Fields,Leeds,True,,1020.1872758350532,952.5866717298927,0.5960757409232464,67.60060410516053,0.0
8,1884-01-12,Wales,Scotland,0,1,Home_Nations_Championship,,Newport,True,,965.0130542682765,1028.7946914875026,0.4092282612381101,-63.78163721922613,0.0
9,1884-02-04,Ireland,England,0,1,Home_Nations_Championship,,Dublin,True,,998.4313609475515,1007.7608932966695,0.4865769497981136,-9.329532349117926,0.0
10,1884-02-16,Scotland,Ireland,2,2,Home_Nations_Championship,Raeburn Place,George Rowland Hill,True,,1037.34025923037,988.0201590281059,0.5705043837969663,49.32010020226414,0.5
