Date,Game ID,Team,Score,Possession - Overall,Possession - 1st half,Possession - 2nd half,Tries,Conversions,Penalties,Metres,Defenders Beaten,Clean breaks,Gain line Carries,Passes,Offloads,Turnovers won,Kicks from Hand,Rucks Won,Tackles Made,Tackles Missed,Goal Kicks Successful,Goal Kicks Attempted,Rucks Successful,Total Rucks,Lineouts Successful,Lineouts Thrown,Scrums Successful,Scrums Total,Penalties Conceded Own Half,Penalties Conceded Opp Half,Yellow Cards,Red Cards,% Rucks Successful,% Goal kicks Successful,% Scrums Successful,% Tackle Successful
28-Oct-2023,87881,New Zealand,11,60,63,58,1,0,2,459,37,7,66,221,5,2,34,115,92,14,2,4,115,120,20,22,2,2,4,1,1,1,0.9583333333333334,0.5,1.0,0.8679245283018868
27-Oct-2023,87880,Argentina,23,53,45,59,2,2,3,421,34,6,54,139,4,2,38,109,107,14,5,6,109,111,8,8,6,7,5,2,0,0,0.9819819819819819,0.8333333333333334,0.8571428571428571,0.884297520661157
21-Oct-2023,87879,England,15,56,52,59,0,0,4,236,14,0,33,78,4,8,41,67,89,15,4,4,67,68,7,10,3,7,4,7,0,0,0.9852941176470589,1.0,0.42857142857142855,0.8557692307692308
20-Oct-2023,87878,Argentina,6,43,46,40,0,0,2,522,23,6,79,182,6,3,22,115,192,51,2,2,115,119,10,12,4,4,4,6,0,0,0.9663865546218487,1.0,1.0,0.7901234567901234
15-Oct-2023,87877,France,28,60,59,60,3,2,3,520,43,13,81,156,13,5,24,103,92,12,5,7,103,108,12,12,5,9,2,4,0,0,0.9537037037037037,0.7142857142857143,0.5555555555555556,0.8846153846153846
15-Oct-2023,87876,England,30,49,53,46,2,1,5,501,29,3,57,123,4,5,30,69,151,34,6,8,69,73,11,11,4,5,4,6,0,0,0.9452054794520548,0.75,0.8,0.8162162162162162
14-Oct-2023,87875,Ireland,24,55,51,58,3,2,1,633,31,7,94,325,8,4,20,129,155,22,3,4,129,134,13,15,0,0,4,6,0,0,0.9626865671641791,0.75,,0.8757062146892656
14-Oct-2023,87874,Wales,17,44,43,45,2,2,1,619,22,8,49,144,6,3,25,58,166,20,3,4,58,62,6,10,8,10,9,3,0,0,0.9354838709677419,0.75,0.8,0.8924731182795699
8-Oct-2023,87873,Fiji,23,54,52,56,2,2,3,737,32,6,77,143,7,7,30,96,90,22,5,5,96,101,15,17,2,3,2,9,1,0,0.9504950495049505,1.0,0.6666666666666666,0.8035714285714286
8-Oct-2023,87872,Tonga,45,57,52,63,7,5,0,735,43,15,78,192,16,3,17,77,96,13,5,7,77,82,16,17,1,2,5,4,1,0,0.9390243902439024,0.7142857142857143,0.5,0.8807339449541285
8-Oct-2023,87871,Japan,27,48,46,50,3,3,1,449,29,6,60,156,7,3,19,72,159,26,4,4,72,75,8,9,10,10,3,3,1,0,0.96,1.0,1.0,0.8594594594594595
7-Oct-2023,87870,Ireland,36,46,48,43,6,3,0,468,15,5,74,160,5,7,30,82,195,27,3,6,82,84,12,12,3,5,4,3,0,0,0.9761904761904762,0.5,0.6,0.8783783783783784
7-Oct-2023,87869,England,18,55,49,60,2,1,2,402,26,8,46,113,2,7,25,61,126,15,3,5,61,66,17,20,8,10,5,4,0,0,0.9242424242424242,0.6,0.8,0.8936170212765957
7-Oct-2023,87868,Wales,43,49,51,47,6,5,1,519,16,5,46,144,9,4,48,63,163,21,6,8,63,66,13,13,2,2,3,6,1,0,0.9545454545454546,0.75,1.0,0.8858695652173914
6-Oct-2023,87867,France,60,56,56,57,8,7,2,513,22,11,79,164,10,7,26,87,132,9,9,11,87,90,14,15,6,7,4,2,0,0,0.9666666666666667,0.8181818181818182,0.8571428571428571,0.9361702127659575
5-Oct-2023,87866,New Zealand,73,63,53,74,11,9,0,843,46,15,109,228,11,9,23,119,92,11,9,11,119,124,7,7,7,8,4,3,0,0,0.9596774193548387,0.8181818181818182,0.875,0.8932038834951457
1-Oct-2023,87865,South Africa,49,55,50,60,7,7,0,392,16,5,68,138,8,8,15,89,146,14,7,7,89,90,17,18,2,3,6,3,0,0,0.9888888888888889,1.0,0.6666666666666666,0.9125
1-Oct-2023,87864,Australia,34,44,52,37,5,3,1,528,18,6,62,114,10,8,29,69,153,29,4,7,69,70,10,13,5,7,7,4,2,0,0.9857142857142858,0.5714285714285714,0.7142857142857143,0.8406593406593407
