,Game ID,Date,Team,Score,Possession - Overall,Possession - 1st half,Possession - 2nd half,Tries,Conversions,Penalties,Metres,Defenders Beaten,Clean breaks,Gain line Carries,Passes,Offloads,Turnovers won,Kicks from Hand,Rucks Won,Tackles Made,Tackles Missed,Goal Kicks Successful,Goal Kicks Attempted,Rucks Successful,Total Rucks,Lineouts Successful,Lineouts Thrown,Scrums Successful,Scrums Total,Penalties Conceded Own Half,Penalties Conceded Opp Half,Yellow Cards,Red Cards,% Rucks Successful,% Goal kicks Successful,% Scrums Successful,% Tackle Successful,Outcome
0,87881,28-Oct-2023,New Zealand,-1.0,20.0,26.0,16.0,1.0,0.0,-2.0,99.0,23.0,3.0,29.0,137.0,-2.0,-5.0,-4.0,59.0,-117.0,-23.0,-2.0,0.0,59.0,64.0,14.0,12.0,-8.0,-9.0,-2.0,-3.0,-1.0,1.0,-0.04166666666666663,-0.5,0.09090909090909083,0.018331032366927458,0.0
1,87881,28-Oct-2023,South Africa,1.0,-20.0,-26.0,-16.0,-1.0,0.0,2.0,-99.0,-23.0,-3.0,-29.0,-137.0,2.0,5.0,4.0,-59.0,117.0,23.0,2.0,0.0,-59.0,-64.0,-14.0,-12.0,8.0,9.0,2.0,3.0,1.0,-1.0,0.04166666666666663,0.5,-0.09090909090909083,-0.018331032366927458,1.0
2,87880,27-Oct-2023,Argentina,-3.0,6.0,-10.0,18.0,0.0,0.0,-1.0,139.0,20.0,2.0,17.0,49.0,4.0,-3.0,-7.0,46.0,-68.0,-20.0,-1.0,0.0,46.0,45.0,1.0,0.0,-3.0,-5.0,-1.0,0.0,0.0,0.0,0.02743652743652747,-0.16666666666666663,0.1071428571428571,0.0469769464984775,0.0
3,87880,27-Oct-2023,England,3.0,-6.0,10.0,-18.0,0.0,0.0,1.0,-139.0,-20.0,-2.0,-17.0,-49.0,-4.0,3.0,7.0,-46.0,68.0,20.0,1.0,0.0,-46.0,-45.0,-1.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,-0.02743652743652747,0.16666666666666663,-0.1071428571428571,-0.0469769464984775,1.0
4,87879,21-Oct-2023,England,-1.0,12.0,4.0,18.0,-1.0,-1.0,1.0,46.0,-1.0,-3.0,3.0,11.0,2.0,4.0,12.0,15.0,-20.0,1.0,0.0,0.0,15.0,13.0,-8.0,-9.0,-4.0,-1.0,0.0,3.0,0.0,0.0,0.03983957219251333,0.0,-0.4464285714285715,-0.030409631019387096,0.0
5,87879,21-Oct-2023,South Africa,1.0,-12.0,-4.0,-18.0,1.0,1.0,-1.0,-46.0,1.0,3.0,-3.0,-11.0,-2.0,-4.0,-12.0,-15.0,20.0,-1.0,0.0,0.0,-15.0,-13.0,8.0,9.0,4.0,1.0,0.0,-3.0,0.0,0.0,-0.03983957219251333,0.0,0.4464285714285715,0.030409631019387096,1.0
6,87878,20-Oct-2023,Argentina,-38.0,-14.0,-8.0,-20.0,-7.0,-3.0,1.0,-99.0,-28.0,-5.0,-13.0,-32.0,-4.0,-2.0,-14.0,-5.0,7.0,28.0,-2.0,-6.0,-5.0,-3.0,-8.0,-7.0,0.0,0.0,1.0,2.0,-1.0,0.0,-0.017220002755200414,0.5,0.0,-0.09929962013295346,0.0
7,87878,20-Oct-2023,New Zealand,38.0,14.0,8.0,20.0,7.0,3.0,-1.0,99.0,28.0,5.0,13.0,32.0,4.0,2.0,14.0,5.0,-7.0,-28.0,2.0,6.0,5.0,3.0,8.0,7.0,0.0,0.0,-1.0,-2.0,1.0,0.0,0.017220002755200414,-0.5,0.0,0.09929962013295346,1.0
8,87877,15-Oct-2023,France,-1.0,20.0,18.0,20.0,-1.0,-1.0,2.0,96.0,31.0,7.0,45.0,74.0,11.0,-3.0,-3.0,47.0,-66.0,-31.0,1.0,2.0,47.0,49.0,7.0,7.0,-2.0,1.0,-3.0,3.0,-1.0,0.0,0.004551161330822229,-0.08571428571428574,-0.3194444444444444,0.09854573287409107,0.0
9,87877,15-Oct-2023,South Africa,1.0,-20.0,-18.0,-20.0,1.0,1.0,-2.0,-96.0,-31.0,-7.0,-45.0,-74.0,-11.0,3.0,3.0,-47.0,66.0,31.0,-1.0,-2.0,-47.0,-49.0,-7.0,-7.0,2.0,-1.0,3.0,-3.0,1.0,0.0,-0.004551161330822229,0.08571428571428574,0.3194444444444444,-0.09854573287409107,1.0
10,87876,15-Oct-2023,England,6.0,-2.0,6.0,-8.0,-1.0,-2.0,4.0,99.0,-5.0,-5.0,1.0,-33.0,-6.0,-2.0,10.0,-21.0,36.0,5.0,2.0,1.0,-21.0,-22.0,-6.0,-8.0,0.0,-1.0,-4.0,2.0,-1.0,0.0,-0.00216294160057684,0.1785714285714286,0.13333333333333341,0.017605105105105046,1.0
11,87876,15-Oct-2023,Fiji,-6.0,2.0,-6.0,8.0,1.0,2.0,-4.0,-99.0,5.0,5.0,-1.0,33.0,6.0,2.0,-10.0,21.0,-36.0,-5.0,-2.0,-1.0,21.0,22.0,6.0,8.0,0.0,1.0,4.0,-2.0,1.0,0.0,0.00216294160057684,-0.1785714285714286,-0.13333333333333341,-0.017605105105105046,0.0
12,87875,14-Oct-2023,Ireland,-4.0,10.0,2.0,16.0,0.0,0.0,-2.0,168.0,9.0,1.0,34.0,188.0,5.0,-3.0,-13.0,35.0,-71.0,-9.0,-2.0,-3.0,35.0,37.0,5.0,7.0,-5.0,-5.0,-4.0,4.0,-2.0,0.0,-0.006385597784274388,0.0357142857142857,0.0,-0.0036712172173491986,0.0
13,87875,14-Oct-2023,New Zealand,4.0,-10.0,-2.0,-16.0,0.0,0.0,2.0,-168.0,-9.0,-1.0,-34.0,-188.0,-5.0,3.0,13.0,-35.0,71.0,9.0,2.0,3.0,-35.0,-37.0,-5.0,-7.0,5.0,5.0,4.0,-4.0,2.0,0.0,0.006385597784274388,-0.0357142857142857,0.0,0.0036712172173491986,1.0
