Date,Game ID,Knock-out,Team,Score,Possession - Overall,Possession - 1st half,Possession - 2nd half,Tries,Conversions,Penalties,Metres,Defenders Beaten,Clean breaks,Gain line Carries,Passes,Offloads,Turnovers won,Kicks from Hand,Rucks Won,Tackles Made,Tackles Missed,Goal Kicks Successful,Goal Kicks Attempted,Rucks Successful,Total Rucks,Lineouts Successful,Lineouts Thrown,Scrums Successful,Scrums Total,Penalties Conceded Own Half,Penalties Conceded Opp Half,Yellow Cards,Red Cards,Result
2023-10-28,87881,Yes,New Zealand,11,60,63,58,1,0,2,459,459,459,459,459,459,459,459,459,92,14,2,4,115,120,20,22,2,2,4,1,1,1,L
2023-10-27,87880,Yes,Argentina,23,53,45,59,2,2,3,421,421,421,421,421,421,421,421,421,107,14,5,6,109,111,8,8,6,7,5,2,0,0,L
2023-10-21,87879,Yes,England,15,56,52,59,0,0,4,236,236,236,236,236,236,236,236,236,89,15,4,4,67,68,7,10,3,7,4,7,0,0,L
2023-10-20,87878,Yes,Argentina,6,43,46,40,0,0,2,522,522,522,522,522,522,522,522,522,192,51,2,2,115,119,10,12,4,4,4,6,0,0,L
2023-10-15,87877,Yes,France,28,60,59,60,3,2,3,524,524,524,524,524,524,524,524,524,92,12,5,7,103,108,12,12,5,9,2,4,0,0,L
2023-10-15,87876,Yes,England,30,49,53,46,2,1,5,501,501,501,501,501,501,501,501,501,151,34,6,8,69,73,11,11,4,5,4,6,0,0,W
2023-10-14,87875,Yes,Ireland,24,55,51,58,3,2,1,633,633,633,633,633,633,633,633,633,155,22,3,4,129,134,13,15,0,0,4,6,0,0,L
2023-10-14,87874,Yes,Wales,17,44,43,45,2,2,1,619,619,619,619,619,619,619,619,619,166,20,3,4,58,62,6,10,8,10,9,3,0,0,L
2023-10-08,87873,No,Fiji,23,54,52,56,2,2,3,737,737,737,737,737,737,737,737,737,90,22,5,5,96,101,15,17,2,3,2,9,1,0,L
2023-10-08,87872,No,Tonga,45,57,52,63,7,5,0,735,735,735,735,735,735,735,735,735,96,13,5,7,77,82,16,17,1,2,5,4,1,0,W
2023-10-08,87871,No,Japan,27,48,46,50,3,3,1,449,449,449,449,449,449,449,449,449,159,26,4,4,72,75,8,9,10,10,3,3,1,0,L
2023-10-07,87870,No,Ireland,36,46,48,43,6,3,0,468,468,468,468,468,468,468,468,468,195,27,3,6,82,84,12,12,3,5,4,3,0,0,W
2023-10-07,87869,No,England,18,55,49,60,2,1,2,402,402,402,402,402,402,402,402,402,126,15,3,5,61,66,17,20,8,10,5,4,0,0,W
2023-10-07,87868,No,Wales,43,49,51,47,6,5,1,519,519,519,519,519,519,519,519,519,163,21,6,8,63,66,13,13,2,2,3,6,1,0,W
2023-10-06,87867,No,France,60,56,56,57,8,7,2,513,513,513,513,513,513,513,513,513,132,9,9,11,87,90,14,15,6,7,4,2,0,0,W
2023-10-05,87866,No,New Zealand,73,63,53,74,11,9,0,843,843,843,843,843,843,843,843,843,92,11,9,11,119,124,7,7,7,8,4,3,0,0,W
2023-10-01,87865,No,South Africa,49,55,50,60,7,7,0,392,392,392,392,392,392,392,392,392,146,14,7,7,89,90,17,18,2,3,6,3,0,0,W
2023-10-01,87864,No,Australia,34,44,52,37,5,3,1,528,528,528,528,528,528,528,528,528,153,29,4,7,69,70,10,13,5,7,7,4,2,0,W
2023-09-30,87863,No,Scotland,84,59,73,46,12,12,0,1154,1154,1154,1154,1154,1154,1154,1154,1154,125,12,12,12,97,99,14,15,2,4,5,6,0,0,W
2023-09-30,87862,No,Fiji,17,55,53,58,2,2,1,490,490,490,490,490,490,490,490,490,108,28,3,5,106,108,11,16,9,13,6,2,2,0,W
2023-09-30,87861,No,Argentina,59,60,60,60,8,8,1,714,714,714,714,714,714,714,714,714,103,23,9,9,97,102,16,16,5,7,2,7,1,0,W
2023-09-29,87860,No,New Zealand,96,57,69,44,14,13,0,806,806,806,806,806,806,806,806,806,108,16,13,14,70,71,15,15,5,6,4,3,0,0,W
2023-09-28,87859,No,Japan,28,43,38,48,3,2,3,426,426,426,426,426,426,426,426,426,181,31,5,6,58,61,14,16,9,12,6,4,1,0,W
2023-09-27,87858,No,Uruguay,36,56,51,61,5,4,1,368,368,368,368,368,368,368,368,368,108,18,5,6,73,76,12,13,10,10,4,5,1,0,W
2023-09-24,87857,No,Wales,40,52,41,67,3,2,6,254,254,254,254,254,254,254,254,254,141,19,8,10,68,69,17,18,10,10,6,3,0,0,W
2023-09-24,87856,No,Scotland,45,58,59,57,7,5,0,714,714,714,714,714,714,714,714,714,108,13,5,7,83,87,18,21,6,8,2,6,0,0,W
2023-09-23,87855,No,South Africa,8,51,42,60,1,0,1,383,383,383,383,383,383,383,383,383,134,20,1,5,62,68,8,10,9,11,4,7,0,0,L
